year	arsenic	cadmium	copper	dissolved_oxygen	dissolved_oxygen_percentage	lead	nickel	temperature	location	water_quality_index	date
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-01
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-02
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-03
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-04
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-05
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-06
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-07
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-08
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-09
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-10
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-11
2016	0.05	0.01	0.01	11.325	98.75	0.05	0.025	10.825	Thermaikos Port	32.35357142857143	2016-12
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-01
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-02
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-03
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-04
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-05
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-06
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-07
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-08
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-09
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-10
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-11
2017	0.01	0.002	0.002	10.925	116.5	0.01	0.005	16.125	Thermaikos Port	55.51866883116883	2017-12
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-01
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-02
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-03
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-04
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-05
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-06
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-07
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-08
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-09
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-10
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-11
2018	0.1	0.028075	0.0257	21.275	223.0	0.1	0.052625000000000005	15.350000000000001	Thermaikos Port	35.50714285714286	2018-12
2019	0.1	0.02	0.02	8.7	106.75	0.1	0.05	22.1	Thermaikos Port	39.707142857142856	2019-01
2019	0.1	0.02	0.02	8.7	106.75	0.1	0.05	22.1	Thermaikos Port	39.707142857142856	2019-02
2019	0.1	0.02	0.02	8.7	106.75	0.1	0.05	22.1	Thermaikos Port	39.707142857142856	2019-03
